Mission,Ground Zeroes,Eliminate the Renegade Threat,Intel Operative Rescue,Classified Intel Acquisition,Destroy the Anti-Air Emplacements,Deja-Vu,Jamais Vu,Total
Difficulty,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Total Missions Played,4,2,5,3,3,1,,19
Total Missions Completed,2,2,4,2,3,1,,14
Total Stealth Completions,2,1,0,2,2,1,,8
Total No-Kill Completions,0,1,1,2,0,0,,4
Total S-Rank Completions,0,0,3,1,0,,,4
"Total Stealth, No-Kill Completions",0,0,1,1,0,0,,2
Total Missions Failed,0,2,7,1,0,0,,10
Total Time Paradoxes,0,0,0,0,0,0,,0
Total Retries,7,4,10,1,12,0,,34
Total Mission Play Time,4:05:11 (100%),1:04:38 (100%),0:54:37 (100%),0:39:55 (100%),1:26:39 (100%),0:30:20 (100%),,8:41:20 (100%)
Total Crouching Time,2:25:52 (59%),0:45:12 (69%),0:48:28 (88%),0:27:20 (68%),0:54:34 (62%),0:18:04 (59%),,5:39:30 (65%)
Total Crawling time,0:12:23 (5%),0:04:24 (6%),0:00:02 (0%),0:03:12 (8%),0:05:03 (5%),0:00:31 (1%),,0:25:35 (4%)
Fastest Completion Time,112:30.281,11:25.964,11:03.758,7:33.292,26:23.390,30:20.265,,
Total Shots Fired,124,115,522,33,580,27,,1401
Total Accuracy,54,58,192,14,290,12,,620
Total Headshots,47,26,6,10,52,7,,148
Total Kills,46,8,59,0,39,8,,160
Total Near-Fatal Injuries,0,3,4,0,30,1,,38
Total Knock-Outs,4,2,168,2,3,5,,184
Total Tranquilizations,27,22,0,11,42,0,,102
Total Hold-Ups,0,0,0,1,1,0,,2
Total Interrogations,42,2,0,4,4,2,,54
Total Times Discovered,9,8,0,1,16,2,,36
Total Enemy Combat Alerts,0,1,0,0,1,0,,2
Total Vehicles Destroyed,0,0,9,0,4,0,,13
Total Prisoners Rescued,13,2,0,3,7,0,,25
Total Soldiers Extracted,7,3,4,1,0,0,,15
Total Helicopters Lost,0,0,0,0,0,0,,0
Total Rodent Exterminations,3,0,0,0,0,0,,3
Total Crow Exterminations,0,0,0,0,0,3,,3
XOF Unit Patches Obtained,9/9,,,,,,,9/9
Cassette Tape Acquisition Ratio,,,,,,,,10/18
Completion Ratio,13/24,4/16,4/9,3/9,6/17,5/17,,35/110
