Type,Name,Unit Value
Placed Weapon,VOL-GA K12,12000
Placed Weapon,HMG-3 WINGATE,12000
Placed Weapon,M2A-304 MORTAR,9000
Placed Weapon,ZHIZDRA-45,20000
Placed Weapon,M276 AA G-GUN,20000
Vehicle,ZaAZ-S84/4W,20000
Vehicle,APE T-41LV,20000
Vehicle,ZI-GRA 6T,30000
Vehicle,BOAR-53CT,30000
Vehicle,ZHUK BR-3,50000
Vehicle,STOUT IFV-SC,50000
Vehicle,ZHUK RS-ZO,70000
Vehicle,STOUT IFV-FS,70000
Vehicle,TT77 NOSOROG,100000
Vehicle,M84A MAGLOADER,100000
Walker Gear,WG.PP,50000
Walker Gear,CCCP-WG TYPE-C,50000
Walker Gear,CCCP-WG TYPE-A,50000
Walker Gear,CFA-WG TYPE-C,50000
Walker Gear,CFA-WG TYPE-A,50000
