Rank,User,Victory Points,Offensive Capability,Off. Durability,Off. Lvl,Off. Staff,Total Development Grade,Defensive Capability,Def. Durability,Def. Lvl,Def. Staff,Total Defensive Level,Nukes
1,KODACHI666,19178,42818,63557,60,245,541,51126,90367,51,224,149,0
2,cncplyr2,16814,45818,72893,59,166,524,48268,87853,49,200,89,0
3,BREA_0512s,13097,36334,77644,54,140,443,30395,72858,37,125,31,0
4,smithaky,10397,42433,65951,61,130,523,31549,70179,49,125,12,0
5,exiga1212,7946,24057,64288,53,160,383,24225,73596,30,53,109,0
6,theundead12,7542,39479,41580,57,150,610,30569,51074,34,174,143,0
7,SloppyDesert,3082,30524,39154,49,130,542,22398,46174,24,147,83,0
8,supperkip21,2442,16860,51373,25,59,257,22384,55857,22,51,57,0
9,mcbiskits,2155,29155,28844,53,156,459,28268,47802,42,141,110,0
10,airein8889,1924,27194,38594,48,115,507,15156,39075,22,90,7,0
11,corte00,1651,18939,29119,43,118,279,26346,47661,23,127,119,0
12,davide_matteo89,1367,30295,28950,46,116,591,17042,31270,23,85,36,0
13,trasgoboss,1068,22051,25279,36,123,412,25211,46535,36,118,107,0
14,Pallant,971,17654,26037,39,150,309,25711,47999,36,119,133,0
15,heinrich221188,871,22509,35057,42,130,378,19442,40879,17,135,51,0
16,PhilipMarlowe-39,453,20801,27324,37,100,391,16134,37435,37,125,5,0
