Type,Area,Level,Scene,Scene Name,Best Score,Best Combo
Career,Olliwood,Amateur,1,Welcome to Olliwood,828627,828627
Career,Olliwood,Amateur,2,Mullholland Grind,54538,54538
Career,Olliwood,Amateur,3,"Lights, Camera, Faceplant",778302,778302
Career,Olliwood,Amateur,4,Los Limelight,127472,106921
Career,Olliwood,Amateur,5,The Split,680765,473317
Career,Olliwood,Pro,1,Olliwood Bowl,773888,773888
Career,Olliwood,Pro,2,Ollay Confidential,0,0
Career,Olliwood,Pro,3,Silverscreen Subway,0,0
Career,Olliwood,Pro,4,Going Underground,,
Career,Olliwood,Pro,5,That's a Wrap,0,0
Career,Curse of the Aztec,Amateur,1,The Origins of Manual,38794,38794
Career,Curse of the Aztec,Amateur,2,Manualment Valley,433560,431622
Career,Curse of the Aztec,Amateur,3,Village in the Trees,951809,943412
Career,Curse of the Aztec,Amateur,4,Stairway to Heathen,550837,550040
Career,Curse of the Aztec,Amateur,5,Twitch Temple,710745,710745
Career,Curse of the Aztec,Pro,1,,,
Career,Curse of the Aztec,Pro,2,Ritual Sacrifice,0,0
Career,Curse of the Aztec,Pro,3,Empire's Fall,,
Career,Curse of the Aztec,Pro,4,,,
Career,Curse of the Aztec,Pro,5,The Emperor's Tomb,0,0
Career,Gunmetal Creek,Amateur,1,"The Good, the Board and the Ugly",760628,760628
Career,Gunmetal Creek,Amateur,2,Underground Railroad,158276,157247
Career,Gunmetal Creek,Amateur,3,Grinders Breach,1379554,1379554
Career,Gunmetal Creek,Amateur,4,Griptape Robbery,1294,794
Career,Gunmetal Creek,Amateur,5,Dynamite Ridge,30365,26157
Career,Gunmetal Creek,Pro,1,,,
Career,Gunmetal Creek,Pro,2,,,
Career,Gunmetal Creek,Pro,3,,,
Career,Gunmetal Creek,Pro,4,,,
Career,Gunmetal Creek,Pro,5,,,
Career,Carnival of the Dead,Amateur,1,Welcome to the House of Fun,10376,10324
Career,Carnival of the Dead,Amateur,2,Skate or Die,2224192,2224192
Career,Carnival of the Dead,Amateur,3,Dead Air,820473,820472
Career,Carnival of the Dead,Amateur,4,Take The Low Road,29227,29227
Career,Carnival of the Dead,Amateur,5,,,
Career,Carnival of the Dead,Pro,1,,,
Career,Carnival of the Dead,Pro,2,,,
Career,Carnival of the Dead,Pro,3,,,
Career,Carnival of the Dead,Pro,4,,,
Career,Carnival of the Dead,Pro,5,,,
Career,Titan Sky,Amateur,1,,,
Career,Titan Sky,Amateur,2,,,
Career,Titan Sky,Amateur,3,,,
Career,Titan Sky,Amateur,4,,,
Career,Titan Sky,Amateur,5,,,
Career,Titan Sky,Pro,1,,,
Career,Titan Sky,Pro,2,,,
Career,Titan Sky,Pro,3,,,
Career,Titan Sky,Pro,4,,,
Career,Titan Sky,Pro,5,,,
Spots,Olliwood,Amateur,1,Amateur 1,36662,
Spots,Olliwood,Amateur,2,Amateur 2,30955,
Spots,Olliwood,Amateur,3,Amateur 3,64495,
Spots,Olliwood,Amateur,4,Amateur 4,81987,
Spots,Olliwood,Amateur,5,Amateur 5,182770,
Spots,Olliwood,Pro,1,Pro 1,0,
Spots,Olliwood,Pro,2,,,
Spots,Olliwood,Pro,3,,,
Spots,Olliwood,Pro,4,,,
Spots,Olliwood,Pro,5,,,
Spots,Curse of the Aztec,Amateur,1,Amateur 1,102223,
Spots,Curse of the Aztec,Amateur,2,Amateur 2,62284,
Spots,Curse of the Aztec,Amateur,3,Amateur 3,53624,
Spots,Curse of the Aztec,Amateur,4,Amateur 4,69098,
Spots,Curse of the Aztec,Amateur,5,Amateur 5,42725,
Spots,Curse of the Aztec,Pro,1,Pro 1,,
Spots,Curse of the Aztec,Pro,2,,,
Spots,Curse of the Aztec,Pro,3,,,
Spots,Curse of the Aztec,Pro,4,,,
Spots,Curse of the Aztec,Pro,5,,,
Spots,Gunmetal Creek,Amateur,1,Amateur 1,70816,
Spots,Gunmetal Creek,Amateur,2,Amateur 2,,
Spots,Gunmetal Creek,Amateur,3,Amateur 3,,
Spots,Gunmetal Creek,Amateur,4,Amateur 4,,
Spots,Gunmetal Creek,Amateur,5,Amateur 5,,
Spots,Gunmetal Creek,Pro,1,Pro 1,,
Spots,Gunmetal Creek,Pro,2,,,
Spots,Gunmetal Creek,Pro,3,,,
Spots,Gunmetal Creek,Pro,4,,,
Spots,Gunmetal Creek,Pro,5,,,
