Type,Name
Pistol,586 Magnum
Pistol,93R
Pistol,Centurion
Pistol,Custom PF45
Pistol,Damascus
Pistol,First Wave PF45
Pistol,First Wave X-45
Pistol,Flare Gun
Pistol,Golden Rhino
Pistol,M1911
Pistol,M45A1
Pistol,M9
Pistol,Military M9
Pistol,Officer's M9 A1
Pistol,Police 686 Magnum
Pistol,Px4 Storm Type F
Pistol,Px4 Storm Type T
Pistol,Rhino
Pistol,Rhino Special
Pistol,Snubnosed Rhino
Pistol,Tactical M1911
Pistol,X-45
Shotgun,Black Market SASG-12 S
Shotgun,Cassidy
Shotgun,Custom M870 MCS
Shotgun,Defiler
Shotgun,Double Barrel Sawed Off Shotgun
Shotgun,Double Barrel Shotgun
Shotgun,Fireman's M870
Shotgun,Hunter M870
Shotgun,M870 Express
Shotgun,Marine Super 90
Shotgun,Medved
Shotgun,Military M870
Shotgun,Police M870
Shotgun,SASG-12
Shotgun,Showstopper
Shotgun,Super 90
Shotgun,Tactical SASG-12 K
Shotgun,Tactical Super 90 SBS
Submachine Gun,Black Market T821
Submachine Gun,Burst Fire MP-5 A4
Assault Rifle,Classic AK-47
Assault Rifle,Police M4
