Date,Map,Time Played,Games Played,Win Percent,Games Won,Times MVP,Times Top 3,Game Modes Played - Attrition,Game Modes Played - Bounty Hunt
21/01/2020 23:56,Forwardbase Kodai,37m,3,66.70%,2,1,1,100%,0%
21/01/2020 23:56,Homestead,1h 1m,5,100.00%,5,0,0,100%,0%
21/01/2020 23:56,Exoplanet,37m,3,66.70%,2,1,1,100%,0%
21/01/2020 23:56,Black Water Canal,25m,3,33.30%,1,0,2,100%,0%
21/01/2020 23:56,Eden,25m,2,50.00%,1,1,1,100%,0%
21/01/2020 23:56,Drydock,21m,2,50.00%,1,0,1,100%,0%
21/01/2020 23:56,Crash Site,31m,3,66.70%,2,0,0,100%,0%
21/01/2020 23:56,Complex,44m,3,66.7%,2,2,3,100%,0%
21/01/2020 23:56,Angel City,11m,1,100.0%,1,1,1,100%,0%
21/01/2020 23:56,Colony,36m,3,33.3%,1,0,0,100%,0%
21/01/2020 23:56,Glitch,1h 1m,5,80.0%,4,2,4,76.50%,23.50%
21/01/2020 23:56,Relic,37m,3,66.7%,2,0,1,100%,0%
21/01/2020 23:56,War Games,42m,3,66.7%,2,0,2,100%,0%
21/01/2020 23:56,Rise,55m,4,25.0%,1,1,4,100%,0%
28/01/2020 22:58,Forwardbase Kodai,37m,3,66.7%,2,1,1,100%,0%
28/01/2020 22:58,Boomtown,23m,2,50.0%,1,0,1,100%,0%
28/01/2020 22:58,Homestead,1h 40m,8,75.0%,6,1,1,100%,0%
28/01/2020 22:58,Exoplanet,51m,4,50.0%,2,2,4,100%,0%
28/01/2020 22:58,Black Water Canal,49m,5,60.0%,3,0,3,100%,0%
28/01/2020 22:58,Eden,25m,2,50.0%,1,1,1,100%,0%
28/01/2020 22:58,Drydock,43m,4,50.0%,2,0,1,100%,0%
28/01/2020 22:58,Crash Site,57m,5,40.0%,2,0,0,100%,0%
28/01/2020 22:58,Complex,44m,3,66.7%,2,2,3,100%,0%
28/01/2020 22:58,Angel City,11m,1,100.0%,1,1,1,100%,0%
28/01/2020 22:58,Colony,56m,5,60.0%,3,0,2,100%,0%
28/01/2020 22:58,Glitch,1h 10m,6,83.3%,5,2,4,79.80%,20.20%
28/01/2020 22:58,Relic,37m,3,66.7%,2,0,1,100%,0%
28/01/2020 22:58,War Games,42m,3,66.7%,2,0,2,100%,0%
28/01/2020 22:58,Rise,1h 22m,6,50.0%,3,1,5,100%,0%
03/02/2020 01:00,Forwardbase Kodai,51m,4,75.0%,3,1,1,100%,0%
03/02/2020 01:00,Boomtown,23m,2,50.0%,1,0,1,100%,0%
03/02/2020 01:00,Homestead,1h 55m,9,66.7%,6,1,2,100%,0%
03/02/2020 01:00,Exoplanet,1h 17m,6,66.7%,4,2,4,100%,0%
03/02/2020 01:00,Black Water Canal,1h 14m,7,42.9%,3,0,3,100%,0%
03/02/2020 01:00,Eden,39m,3,66.7%,2,1,1,100%,0%
03/02/2020 01:00,Drydock,54m,5,60.0%,3,0,1,100%,0%
03/02/2020 01:00,Crash Site,57m,5,40.0%,2,0,0,100%,0%
03/02/2020 01:00,Complex,44m,3,66.7%,2,2,3,100%,0%
03/02/2020 01:00,Angel City,11m,1,100.0%,1,1,1,100%,0%
03/02/2020 01:00,Colony,56m,5,60.0%,3,0,2,100%,0%
03/02/2020 01:00,Glitch,1h 17m,7,71.4%,5,2,4,81.60%,18.40%
03/02/2020 01:00,Relic,48m,4,50.0%,2,0,2,100%,0%
03/02/2020 01:00,War Games,54m,4,75.0%,3,0,2,100%,0%
03/02/2020 01:00,Rise,1h 32m,7,57.1%,4,2,6,100%,0%
10/02/2020 23:40,Forwardbase Kodai,51m,4,75.0%,3,1,1,100%,0%
10/02/2020 23:40,Boomtown,35m,3,33.3%,1,0,1,100%,0%
10/02/2020 23:40,Homestead,2h 4m,10,60.0%,6,1,3,100%,0%
10/02/2020 23:40,Exoplanet,1h 17m,6,66.7%,4,2,4,100%,0%
10/02/2020 23:40,Black Water Canal,1h 36m,9,44.4%,4,1,5,100%,0%
10/02/2020 23:40,Eden,1h 5m,5,80.0%,4,1,1,100%,0%
10/02/2020 23:40,Drydock,1h 21m,8,62.5%,5,0,3,100%,0%
10/02/2020 23:40,Crash Site,1h 10m,6,33.3%,2,0,0,100%,0%
10/02/2020 23:40,Complex,1h 17m,6,50.0%,3,2,3,100%,0%
10/02/2020 23:40,Angel City,11m,1,100.0%,1,1,1,100%,0%
10/02/2020 23:40,Colony,1h 8m,6,66.7%,4,0,2,100%,0%
10/02/2020 23:40,Glitch,1h 25m,8,62.5%,5,2,5,83.30%,16.70%
10/02/2020 23:40,Relic,48m,4,50.0%,2,0,2,100%,0%
10/02/2020 23:40,War Games,1h 6m,5,80.0%,4,0,2,100%,0%
10/02/2020 23:40,Rise,1h 32m,7,57.1%,4,2,6,100%,0%
