Date,Time Played,In Air,Wallrunning,Time as Pilot,Time as Titan,Time as Ion,Time as Scorch,Time as Tone,Time as Legion,Time as Monarch,Time as Ronin,Time as Northstar,Game Mode: Attrition,Game Mode: Bounty Hunt
09/01/2020 08:48,1h 53m,9m,1m,1h 18m,26m,26m,0m,0m,0m,0m,0m,0m,87.5%,12.5%
10/01/2020 00:37,2h 44m,13m,2m,1h 54m,38m,36m,1m,0m,0m,0m,0m,0m,91.7%,8.3%
19/01/2020 19:30,6h 42m,34m,4m,4h22m,1h 49m,47m,39m,20m,0m,0m,0m,0m,97.0%,3.0%
20/01/2020 00:20,7h 55m,41m,5m,5h 12m,2h 3m,53m,49m,20m,0m,0m,0m,0m,97.4%,2.6%
21/01/2020 23:56,9h 1m,46m,5m,5h 55m,2m 20m,53m,1h 3m,22m,0m,0m,0m,0m,97.7%,2.3%
23/01/2020 20:40,9h 16m,46m,5m,6h 4m,2h 25m,53m,1h 3m,27m,0m,0m,0m,0m,97.8%,2.2%
28/01/2020 22:58,12h 13m,1h 1m,7m,7h 53m,3h 18m,53m,1h 13m,1h 9m,0m,0m,0m,0m,98.3%,1.7%
03/02/2020 01:00,14h 39m,1h 14m,8m,9h 19m,4h 3m,53m,1h 43m,1h 25m,0m,0m,0m,0m,98.6%,1.4%
06/02/2020 08:00,15h 32m,1h 20m,9m,9h 56m,4h 15m,54m,1h 44m,1h 35m,0m,0m,0m,0m,98.7%,1.3%
10/02/2020 23:40,17h 32m,1h 30m,11m,11h 26m,4h 33m,1h 40m,1h 57m,1h 40m,0m,0m,0m,0m,98.9%,1.1%
09/03/2020 08:06,22h 6m,1h 53m,13m,14h 30m,5h 40m,58m,2h 50m,1h 46m,0m,0m,1m,1m,99.1%,0.9%
