Date,Level,Time Played,Games Played,Games Won,Win %,Times MVP,Times Top 3,Kills as Pilot - Pilot,Kills as Pilot - Titans,Kills as Pilot - AI Force,Kills as Pilot - Pilot Melee Kills,Kills as Pilot - Pilot Executions,Kills as Titan - Pilots,Kills as Titan - Titans,Kills as Titan - Titan Executions,Kills as Titan - Pilots Meleed,Kills as Titan - Pilot Roadkills,K/D Lifetime Avg.,K/D Last 10 Games Avg.,Lifetime Avg. vs Players,Last 10 Games Avg. vs Players
09/01/2020 08:48,,1h 53m,8,4,50.00%,3,5,85,9,221,3,2,19,11,3,1,2,3.7,,1.2,
10/01/2020 00:37,10,2h 44m,12,6,50.00%,3,8,123,16,285,7,6,32,16,5,2,5,3.6,3.9,1.3,1.5
13/01/2020 08:22,14,4h 30m,22,9,40.90%,6,17,214,32,541,20,10,59,30,11,2,7,3.9,4.6,1.3,1.5
19/01/2020 19:30,21,6h 42m,33,19,57.60%,8,23,304,43,793,33,18,101,57,17,4,9,4,4.9,1.4,2.1
20/01/2020 00:20,23,7h 55m,39,24,61.50%,8,24,345,49,908,38,18,105,65,18,4,9,3.6,4.2,1.2,1.6
21/01/2020 23:56,25,9h 1m,44,27,61.40%,8,24,370,56,1070,42,22,115,71,20,4,9,3.5,2.7,1.1,0.6
23/01/2020 20:40,26,9h 16m,45,28,62.20%,8,24,376,57,1081,42,24,118,72,20,4,9,3.5,2.7,1.1,0.7
28/01/2020 22:58,33,12h 13m,60,37,61.70%,9,30,457,67,1427,52,31,189,91,25,6,10,3.3,4.4,1.1,1.4
01/02/2020 09:52,35,13h 18m,65,40,61.50%,9,30,494,73,1520,62,33,197,99,26,6,10,3.2,3.5,1.0,1.2
03/02/2020 01:00,39,14h 38m,72,44,61.10%,10,33,532,83,1650,66,39,222,108,27,6,10,3.2,3.9,1.0,1.5
06/02/2020 08:00,41,15h 32m,77,46,59.70%,10,36,565,89,1756,70,40,229,114,29,6,11,3.2,4.2,1.0,1.5
09/02/2020 01:35,43,16h 20m,81,47,58.00%,10,36,595,91,1833,71,42,231,117,29,6,11,3.1,2.7,1.0,0.7
10/002/2020 23:40,48,17h 32m,88,52,59.00%,11,39,640,100,1965,76,43,236,127,31,6,11,3.1,2.9,1.0,1.0
