Type, Name, Level,Camo 1,Camo 2,Camo 3,Camo 4,Gold,Platinum,Polyatomic,Orion
Assault Rifle, M4, 20/20,Yes,Yes,Yes,12/15,,,,
Assault Rifle, TAQ-56,1/20,,,,,,,,
Assault Rifle,Kastov 762,3/21,19/50,,,,,,,
Assault Rifle,Lachmann-556,18/20,Yes,Yes,Yes,No,,,,
Assault Rifle,STB 556, 17/21,Yes,12/20,6/10,No,,,,
Assault Rifle,M16,1/16L,,,,,,,,
Assault Rifle,Kastov-74U,1/21L,,,,,,,,
Assault Rifle,Kastov 545,1/19L,,,,,,,,
Assault Rifle,Chimera,1/18,,,,,,,,
Assault Rifle,M13B,1/20L,,,,,,,,
Battle Rifle,Lachmann-762,19/19,Yes,Yes,Yes,8/10,,,,
Battle Rifle,SO-14,1/23L,,,,,,,,
Battle Rifle,TAQ-V,1/21L,,,,,,,,
Battle Rifle,FTAC Recon,1/23,,,,,,,,
SMG,VEL 46,4/29,23/50,,,,,,,
SMG,MX9,20/20,Yes,Yes,Yes,Yes,Yes,No,No,No
SMG,Lachmann Sub,19/19,Yes,Yes,Yes,Yes,Yes,No,No,No
SMG,Vaxnev-9k,1/15L,,,,,,,,
SMG,FSS Hurricane,3/16,,,,,,,,
SMG,Minibak,1/15L,,,,,,,,
SMG,BAS-P,10/24,Yes,Yes,,,,,,
SMG,pdsw 528,5/30,33/50,,,,,,,
SMG,Fennec 45,1/27,,,,,,,,
Shotgun,Lockwood 300,1/28,,,,,,,,
Shotgun,Expedite 12, 6/30,Yes,No,,,,,,
Shotgun,Bryson 800, 4/22,22/40,No,,,,,,
Shotgun,Bryson 890,1/22L,,,,,,,,
LMG,Sakin MG38,1/20,,,,,,,,
LMG,HCR 56,1/19L,,,,,,,,
LMG,556 Icarus,1/16,,,,,,,,
LMG,RAAL MG,1/26,,,,,,,,
LMG,RPK,1/19L,,,,,,,,
LMG,RAPP H,1/19,,,,,,,,
Marksman Rifle,EBR-14,1/16,,,,,,,,
Marksman Rifle,SP-R 308,1/16,,,,,,,,
Marksman Rifle,Lockwood Mk2,1/29,,,,,,,,
Marksman Rifle,LM-S,1/13,,,,,,,,
Marksman Rifle,SA-B 50,1/23L,,,,,,,,
Marksman Rifle,TAQ-M,1/27L,,,,,,,,
Sniper Rifle,MCPR-300,9/28,32/50,No,,,,,,
Sniper Rifle,Victus MXR,1/28L,,,,,,,,
Sniper Rifle,Signal 50,1/24,,,,,,,,
Sniper Rifle,LA-B 330,1/22L,,,,,,,,
Sniper Rifle,SPX-80, 1/20L,,,,,,,,
Melee, Riot Shield,1/15,,,,,,,,
