Type, Name, Platform, Release
Assault Rifle, M4, M4 Platform, Base Game
Assault Rifle, TAQ-56, Tactique Verte Platform, Base Game
Assault Rifle, Kastov 762, Kastovia Platform, Base Game
Assault Rifle, Lachmann-556, Lachmann Meer Platform, Base Game
Assault Rifle, STB 556, Bruen Bullpup Platform, Base Game
Assault Rifle, M16, M4 Platform, Base Game
Assault Rifle, Kastov-74U, Kastovia Platform, Base Game
Assault Rifle, Kastov 545, Kastovia Platform, Base Game
Assault Rifle, M13B, , Season 1
Assault Rifle, Chimera, , Season 1
Battle Rifle, Lachmann-762, Lachmann Meer Platform, Base Game
Battle Rifle, SO-14, Ordnance Platform, Base Game
Battle Rifle, TAQ-V, Tactique Verte Platform, Base Game
Battle Rifle, FTAC Recon, M4 Platform, Base Game
SMG, Vel 46, LMP Platform, Base Game
SMG, MX9, Bruen Bullpup Platform, Base Game
SMG, Lachmann Sub, Lachmann Meer Platform, Base Game
SMG, Vaznev-9K, Kastovia Platform, Base Game
SMG, FSS Hurricane, M4 Platform, Base Game
SMG, Minibak, Kastovia Platform, Base Game
SMG, PDSW 528, Tactique Defense Platform, Base Game
SMG, Fennec 45, Fennec Platform, Base Game
SMG, Bas-P, , Season 1
LMG, Sakin MG38, Sakin MG Platform, Base Game
LMG, HCR 56, Bruen Bullpup Platform, Base Game
LMG, 556 Icarus, M4 Platform, Base Game
LMG, RAAL MG, RAAL Platform, Base Game
LMG, RPK, Kastovia Platform, Base Game
LMG, RAPP H, Lachmann Meer Platform, Base Game
Shotgun, Lockwood 300, Lockwood Sport Platform, Base Game
Shotgun, Expedite 12, Expedite Platform, Base Game
Shotgun, Bryson 800, Bryson 800 Series Platform, Base Game
Shotgun, Bryson 890, Bryson 800 Series Platform, Base Game
Marksman Rifle, EBR-14, Ordnance Platform, Base Game
Marksman Rifle, SP-R 208, Bryson Long Rifle Platform, Base Game
Marksman Rifle, Lockwood MK2, Mark 2 Platform, Base Game
Marksman Rifle, LM-S, Lachmann Meer Platform, Base Game
Marksman Rifle, SA-B 50, Bryson Long Rifle Platform, Base Game
Marksman Rifle, TAQ-M, Tactique Verte Platform, Base Game
Sniper Rifle, MCPR-300, MRBA Platform, Base Game
Sniper Rifle, Signal 50, Signal Platform, Base Game
Sniper Rifle, LA-B 330, Bryson Long Rifle Platform, Base Game
Sniper Rifle, SP-X 80, Bryson Long Rifle Platform, Base Game
Sniper Rifle, Victus XMR, Imperatorium Platform, Season 1
Handgun, P890, Bruen 890 Platform, Base Game
Handgun, .50 GS, Sakin G Series Platform, Base Game
Handgun, X12, XRK Platform, Base Game
Handgun, Basilisk, Basilisk 500 Platform, Base Game
Handgun, X13 Auto, XRK Platform, Base Game
Launcher, JOKR, , Base Game
Launcher, PILA, , Base Game
Launcher, RPG-7, , Base Game
Launcher, Strela-P, , Base Game
Melee, Combat Knife, , Base Game
Melee, Riot Shield, , Base Game
