Track,Car,PP / Event,Time,Sector 1,Sector 2,Sector 3,Date
Autodromo Nazionale Monza,Ferrari F430 '06,593.18,2:02.005,38.144,41.767,42.094,2022-07-28
Autodromo Nazionale Monza,Ferrari F430 '06,593.18,2:03.714,38.920,42.461,42.333,2022-07-28
Autodromo Nazionale Monza,Ferrari F430 '06,593.18,2:04.296,38.860,43.916,41.520,2022-07-28
Autopolis Interantional Racing Course,Mitsubishi Lancer Evolution VI GSR TM. SCP '99,Japanese Clubman Cup 550,2:11.680,,,,
Blue Moon Bay Speedway,Chevrolet Camaro ZL1 1LE Package '18,,0:47.036,,,,2022-07-18
Blue Moon Bay Speedway,Ford Mustang GT Premium Fastback '15,,0:55.042,,,,2022-04-01
Blue Moon Bay Speedway,Ford Mustang GT Premium Fastback '15,549.00,0:55.042,28.026,27.016,N/A,2022-04-01
Blue Moon Bay Speedway - Infield A,Ford Mustang GT '15,American Sunday Cup 600,1:22.531,,,,
Brands Hatch Grand Prix Circuit,Toyota GR Supra Race Car '19,GT Cup Gr.4,1:36.706,,,,
Daytona Tri-Oval,Ford Mustang GT '15,American Sunday Cup 600,0:51.038,,,,
Deep Forest Raceway,Porsche 917 Living Legend Concept '13,822.82,1:23.494,25.015,30.048,28.431,2022-07-19
Deep Forest Raceway,Porsche 917 Living Legend Concept '13,822.82,1:28.716,,,,2022-04-19
Deep Forest Raceway,Mazda RX-Vision GT3 Concept,596,1:30.308,26.686,32.045,31.577,2022-03-18
Deep Forest Raceway,Porsche Cayman GT4 Clubsport '16,514,1:35.157,27.175,34.076,33.906,2022-03-18
Deep Forest Raceway,Ferrari F430 '06,593.18,1:39.307,29.088,35.854,34.365,2022-07-28
Deep Forest Raceway,Ferrari F430 '06,593.18,1:39.423,29.563,35.546,34.314,2022-07-28
Deep Forest Raceway,Mitsubishi Lancer Evolution VI GSR T.M. SCP '99,,1:40.160,,,,2022-04-09
Deep Forest Raceway,Ferrari F430 '06,593.18,1:40.867,29.619,36.527,34.721,2022-07-28
Deep Forest Raceway,Ferrari 308 GTB '75,,1:40.742,,,,2022-06-02
Deep Forest Raceway,TVR Tuscan Speed 6 '00,,1:45.259,,,,2022-04-09
Deep Forest Raceway,Nissan Z Performance '23,543.85,1:45.263,30.376,37.644,37.243,2022-07-28
Deep Forest Raceway,Nissan Z Performance '23,543.85,1:45.600,30.417,37.860,37.323,2022-07-28
Deep Forest Raceway,Radical SR3 SL '13,,1:46.573,,,,2022-06-30
Deep Forest Raceway,Lamborghini Countach 25th Anniversary '88,,1:47.352,,,,2022-04-24
Deep Forest Raceway,Mitsubishi Lancer Evolution VI GSR T.M. SCP '99,499.52,1:49.439,31.223,39.093,39.123,2022-03-31
Deep Forest Raceway,Ford Mustang Mach 1 '71,546.87,1:51.485,31.254,37.673,42.558,2022-03-31
Deep Forest Raceway,Renault Sport Clio R.S. 220 EDC Trophy '16,446.37,1:55.033,32.791,41.108,41.133,2022-03-11
Deep Forest Raceway,Renault Sport Clio R.S. 220 EDC Trophy '16,446.37,1:56.139,32.864,41.556,41.719,2022-03-11
Deep Forest Raceway,Renault Sport Clio R.S. 220 EDC Trophy '16,446.37,1:57.075,32.697,42.994,41.384,2022-03-11
Deep Forest Raceway,Jaguar E-type Coupe '61,,1:58.278,,,,2022-05-25
Fuji International Speedway,Mitsubishi Lancer Evolution VI GSR T.M. SCP '99,Japanese Clubman Cup 550,2:00.484,,,,
Sardegna - Road Track - A,Porsche 917 Living Legend Concept '13,822.82,1:52.209,42.892,34.424,34.893,2022-07-19
Special Stage Route X,Porsche 917 Living Legend Concept '13,822.82,4:50.181,,,,2022-07-20
Special Stage Route X,Porsche 917 Living Legend Concept '13,822.82,4:51.165,,,,2022-07-20
Trial Mountain Circuit,Chevrolet Camaro ZL1 1LE Package '18,Trial Mountain Cup Race 1,2:13.718,,,,
Trial Mountain Circuit - Reverse,Chevrolet Camaro ZL1 1LE Package '18, Trial Mountain Cup Race 2,2:15.142,,,,
