Manufacturer,Model,Year,Cr.,PP,miles
Fiat,500 F,1968,18500,81.18,12104
Volkswagen,Volkswagen 1200,1966,35500,177.02,7532
Mini,Mini-Cooper 'S',1965,44700,251.10,5071
Volkswagen,Golf I GTI,1983,44500,346.95,33111
Mini,Mini-Cooper 'S',1965,38000,251.10,49018
Renault,R5 Turbo,1980,154200,392.38,31471
Alfa Romeo,MiTo,2009,25600,396.62,3429
Volkswagen,Volkswagen 1200,1966,32700,177.02,29596
Abarth,Abarth 595 SS,1970,48900,184.94,51234
Alpine,A110,1972,140000,405.77,19356
Toyota,Celica GT-Four (ST205),1994,78600,450.55,11782
Mitsubishi,Lancer Evolution VI GSR T.M. SCP,1999,162400,499.52,60690
Honda,Integra Type R (DC2),1995,67300,431.35,3876
Porsche,911 Turbo (930),1981,215500,494.43,52561
Mercedes-AMG,SLS AMG,2010,316900,587.86,28723
Porsche,911 GT3 (997),2009,142400,579.76,15831
Nissan,Fairlady Z (Z34),2008,39100,511.03,4725
Honda,Civic Type R (EK) Touring Car,,116600,519.51,47107
Lamborghini,Countach 25th Anniversary,1988,713300,521.93,8597
