Manufacturer, Model
Alfa Romeo, 155 TS
Alfa Romeo, Giulia GTAm
Alpine, A110 1800 Group 4
Ariel, Atom 3.5
Aston Martin, Valkyrie AMR Pro Concept
Aston Martin, Valkyrie
Aston Martin, Vantage GT4
Aston Martin, Vantage GTE
Aston Martin, Vulcan AMR Pro
Audi, A4 quattro
Audi, R8 1:1
Audi, RS 3 LMS
Audi, S1 quattro Concept
Auto Gallery, Nissan Skyline GT-R (R32)
Beltra, Enduro 24 T
Beltra, FZ-73 FAF
Beltra, Icon Mk3
Beltra, Open Wheel
BMW, M1 Turbo Group 5
BMW, M3 (E46) GTR
BMW, M3 Touring Car
BMW, M6 GT3
Brabham, BT62
Bugatti, Veyron 16.4 Super Sport
Cadillac, DPi-V.R
Chevrolet, Corvette C7.R
Chevrolet, Corvette ZR1
Chevrolet, Camaro GT4.R
Chevrolet, Camaro SSX Concept
Chevrolet, Camaro Super Tourer
Chevrolet, Camaro Z28 Modified
Datsun, 240Z (S30) Modified
Dodge, Challenger SRT Demon
Dumont, Colossus
Dumont, Stampede
Dumont, T36 Brawler Sport
Dumont, T37 Wolf
Ferrari, 330 P4
Ferrari, 365 GTB4 Competizione
Ferrari, 488 GTE
Ferrari, 512 BB LM
Ferrari, 599XX Evo
Ferrari, F40 LM
Ferrari, F430 Challenge
Ferrari, FXX
Ferrari, FXX-K Evo
Ford, Capri Turbo Group 5
Ford, Falcon FG X Supercar
Ford, Focus TC-2
Ford, GT
Ford, GT GTE
Ford, GT40
Ford, Mustang GT4
Ford, Mustang Mach 1 Modified
Ford, Mustang Shelby GT500
Ford, Sierra RS500 Cosworth
Ford, Sierra RS500 Cosworth Group A
Ginetta, G40 GT5
Ginetta, G55 GT3
Ginetta, G55 GT4
Ginetta, G56 GTA
Holden, ZB Commodore Supercar
Jaguar, I-PACE eTrophy
JEDI, F1000 SPEC
Jupiter, Classic Stock
Jupiter, Formula X#
Jupiter, San Marino
Koenigsegg, Agera RS
Koenigsegg, Jesko
KTM, X-BOW R
Lancia, Delta HF Integrale Super Hatch
Lancia, Stratos
Lotus, Elise GT1
Lotus, Elise S Cup R
Lotus, Evija
Mazda, 787B
Mazda, Furai
Mazda, MX-5
Mazda, RX-7 FD3S Drift-Tuned
Mazda, RX-7 Panspeed
MCA, Hammerhead Nissan Silvia (S13)
McLaren, M8D
MINI, Hatch JCW
MINI, Miglia Challenge
Mitsubishi, Lancer Evolution VI Time Attack
Mitsubishi, Lancer Evolution IX Time Attack
Mitsubishi, Lancer Evolution X Drift-Tuned
Nissan, 300ZX (Z32) Modified
Nissan, 300ZX Turbo Le Mans
Nissan, 350Z (Z33) Gr.2
Nissan, 370Z Drift
Nissan, GT-R (SUPERGT GT500 Class Racing Car)
Nissan, Silvia S15 Drift
Nissan, Silvia Time Attack Spec (S15)
Nissan, Skyline 2000GT-R (KPGC10) Modified
Nissan, Skyline GT-R Group A (R32)
Nissan, Skyline GT-R Time ATtack (R34)
Opel, Astra V8 Coupe
Pagani, Zonda Revolucion
Panoz, GTR-1
Pontiac, Firebird Modified
Porsche, 911 Carrera RSR 3.0
Porsche, 911 GT1
Porsche, 911 GT3 RS (991.1)
Porsche, 911 GT4 (997)
Porsche, 911 RSR
Porsche, 917/30
Porsche, 935/78 Group 5 \"Moby Dick\"
Porsche, 962C
Porsche, Taycan Turbo S
Renault, Clio Cup
Renault, Laguna Touring Car
Renault, R26
Renault, R.S. 01
Shelby, Cobra 289 FIA
SRT, Viper GTS-R
Subaru, BRZ Drift-Tuned
Subaru, BRZ Modified
Subaru, Impreza WRX Tomei Cusco
Subaru, WRX STI TC-2
Tushek, TS 900 Racer Pro
Volkswagen, Cup Car
Volkswagen, Golf GTI
Volvo, 850 Estate Touring Car
