Month,Day,Score,,,
1,1,760,,,
1,2,1240,,,
1,3,1500,,,
1,4,1970,,,
1,5,2710,,,
1,6,7940,,,
1,7,4980,,,
1,8,5560,,,
1,9,4310,,,
1,10,16750,,,
1,11,2150,,,
1,12,5090,,,
1,13,6510,,,
1,14,2230,,,
1,15,4870,,,
1,16,4060,,,
1,17,2570,,,
1,18,3140,,,
1,19,6710,,,
1,20,18200,,,
2,21,3450,,,
2,22,6010,,,
2,23,3090,,,
2,24,6600,,,
2,25,4930,,,
2,26,4300,,,
2,27,3570,,,
2,28,4140,,,
2,29,3965,,,
2,30,15625,,,
2,31,11430,,,
2,32,10220,,,
2,33,11420,,,
2,34,9910,,,
2,35,5670,,,
2,36,15950,,,
2,37,11200,,,
2,38,6870,,,
2,39,11780,,,
2,40,11030,,,
3,41,17800,,,
3,42,15730,,,
3,43,37430,,,
3,44,19200,,,
3,45,9810,,,
3,46,,,,
3,47,,,,
3,48,,,,
3,49,,,,
3,50,,,,
3,51,,,,
3,52,,,,
3,53,,,,
3,54,,,,
3,55,,,,
3,56,,,,
3,57,,,,
3,58,,,,
3,59,,,,
3,60,,,,
