Tournament,Start date,End date,Players
Mid-summer Masters,22/07/2014,28/07/2014,
Sea Breeze Cup,15/07/2014,21/07/2014,1251
Bucket and Spade Tournament,08/07/2014,14/07/2014,1240
Independence Day Memorial,01/07/2014,07/07/2014,1351
Bright Skies Open,24/06/2014,30/06/2014,1434
Solstice Masters,17/06/2014,23/06/2014,1422
Suncream Classic,10/06/2014,16/06/2014,1339
Summertime Tee-Off,03/06/2014,09/06/2014,1409
Cool Spring Open,27/05/2014,02/06/2014,1453
Sunburst Championship,20/05/2014,26/05/2014,1526
Europe Day Memorial,13/05/2014,19/05/2014,1602
May Day Tour,06/05/2014,12/05/2014,1568
Birdsong Challenge,29/04/2014,05/05/2014,1679
Earth Day Challenge Cup,22/04/2014,28/04/2014,1193
Blossom Masters,15/04/2014,21/04/2014,1191
Springtime Tour,08/04/2014,14/04/2014,1183
Fool's Day Classic,01/04/2014,07/04/2014,1261
Rainy Clouds Open,25/03/2014,31/03/2014,1233
Equinox Annual Cup,18/03/2014,24/03/2014,1248
Rainbow Masters,11/03/2014,17/03/2014,1275
Changing of the Seasons Tee-Off,04/03/2014,10/03/2014,1297
Hibernation Masters,25/02/2014,03/03/2014,1211
Thundercloud Tour,18/02/2014,24/02/2014,1315
Cupid Challenge Cup,11/02/2014,17/02/2014,1289
Groundhog Day Event,04/02/2014,10/02/2014,1312
Iced Tee Open,28/01/2014,03/02/2014,1316
Jack Frost Masters,21/01/2014,27/01/2014,1393
Frozen Penguin Tour,14/01/2014,20/01/2014,1352
New Year Tee-Off,07/01/2014,13/01/2014,1425
New Year's Event,31/12/2013,06/01/2014,1450
Christmas Challenge Cup,24/12/2013,30/12/2013,1262
End of the Year Masters,17/12/2013,23/12/2013,1325
Snowball Championships,10/12/2013,16/12/2013,1218
Winter Winners' Cup,03/12/2013,09/12/2013,1272
Misty Masters,26/11/2013,02/12/2013,1338
Raincloud Challenge,19/11/2013,25/11/2013,1332
Poppy Memorial Cup,12/11/2013,18/11/2013,1377
The Fireworks Open,05/11/2013,11/11/2013,1365
Halloween Classic,29/10/2013,04/11/2013,1386
Leaf-Fall Tour,22/10/2013,28/10/2013,1400
Autumn Masters,15/10/2013,21/10/2013,1509
Acorn Championship,08/10/2013,14/10/2013,1496
Oktoberfest Challenge Cup,01/10/2013,07/10/2013,1485
The Fairway Open,24/09/2013,30/09/2013,1507
Harvest Tour,17/09/2013,23/09/2013,1555
Moonlight Beginner's Cup,10/09/2013,16/09/2013,1809
Sunset Challenge,03/09/2013,09/09/2013,1935
Heatwave Challenge,27/08/2013,02/09/2013,1909
Blue Sky Classic,20/08/2013,26/08/2013,2074
Sunflower Cup,13/08/2013,19/08/2013,2106
Sandcastle Classic,06/08/2013,12/08/2013,2114
Ice Cream Challenge,30/07/2013,05/08/2013,2163
Mid-summer Masters,23/07/2013,29/07/2013,2121
Sea Breeze Cup,16/07/2013,22/07/2013,952
Bucket and Spade Tournament,09/07/2013,15/07/2013,924
Independence Day Memorial,02/07/2013,08/07/2013,885
Bright Skies Open,25/06/2013,01/07/2013,935
Solstice Masters,18/06/2013,24/06/2013,955
Suncream Classic,11/06/2013,17/06/2013,946
Summertime Tee-Off,04/06/2013,10/06/2013,1044
Cool Spring Open,28/05/2013,03/06/2013,1021
Sunburst Championship,21/05/2013,27/05/2013,1009
Europe Day Memorial,14/05/2013,20/05/2013,1049
May Day Tour,07/05/2013,13/05/2013,1024
Birdsong Challenge,30/04/2013,06/05/2013,1064
Earth Day Challenge Cup,23/04/2013,29/04/2013,1056
Blossom Masters,16/04/2013,22/04/2013,1032
Springtime Tour,09/04/2013,15/04/2013,1238
Fool's Day Classic,02/04/2013,08/04/2013,1211
Rainy Clouds Open,26/03/2013,01/04/2013,1326
