Tournament,Date,Rank,Players,Percentile,Tour Points,Score,Points
Bright Skies Open,27/06/2014,870,880,99,1,6,670
Solstice Masters,17/06/2014,837,901,93,2,2,864
Suncream Classic,12/06/2014,744,765,98,1,18,-130
Summertime Tee-Off,07/06/2014,715,737,98,1,28,716
Summertime Tee-Off,05/06/2014,810,947,86,4,-4,1600
Summertime Tee-Off,03/06/2014,915,956,6,1,5,730
Cool Spring Open,27/05/2014,927,985,95,2,5,2
Sunburst Championship,25/05/2014,890,915,98,1,8,1810
Sunburst Championship,23/05/2014,806,838,97,1,13,200
Sunburst Championship,22/05/2014,891,929,96,1,3,840
Sunburst Championship,21/05/2014,887,931,96,1,5,600
Sunburst Championship,20/05/2014,812,871,94,2,10,1217
Europe Day Memorial,18/05/2014,918,971,95,2,-6,3052
May Day Tour,06/05/2014,823,908,91,2,20,140
