Tournament,Date,Rank,Name,Platform,VIP,Score,Points,Rankings,Country,Gender,Age,Character,Character Level,Club,Club Level,Ball,Ball Level,Shot,Victory,Runner-Up,Placed,Games Played
Summertime Tee-Off,03/06/2014,1,MrPinhigh69,PS£,Yes,-13,3033,,USA,M,40 to 49,Kat,Max,,5,,5,,9,6,230,268
Summertime Tee-Off,03/06/2014,2,TheJessman,PS3,,-13,2908,,CAN,M,,Kat,Max,,5,,5,,0,4,165,229
Summertime Tee-Off,03/06/2014,3,Mr_Skitch,PS3,,-13,2801,,USA,M,20 to 29,Kat,Max,,5,,5,,5,1,155,200
Summertime Tee-Off,03/06/2014,4,MrPinhigh69,PS Vita,Yes,-13,2760,,USA,M,40 to 49,Kat,Max,,5,,5,,10,13,291,461
Summertime Tee-Off,03/06/2014,5,B-Rockin,PS Vita,Yes,-12,2660,,USA,M,30 to 39,Kat,Max,,5,,5,,32,17,282,388
Summertime Tee-Off,03/06/2014,6,starsaber00,PS Vita,Yes,-12,2640,,USA,M,,Kat,Max,,5,,5,,11,15,299,424
Summertime Tee-Off,03/06/2014,7,Thranth,PS Vita,Yes,-11,2540,,CAN,M,40 to 49,Kat,Max,,5,,5,,2,1,77,174
Summertime Tee-Off,03/06/2014,8,ftgsdkl,PS Vita,Yes,-11,2520,,,,,Kat,Max,,5,,5,,18,10,308,412
Summertime Tee-Off,03/06/2014,9,LastNinja64,PS3,,-11,2510,,UK,M,,Kat,MAX,,5,,5,,5,5,156,202
Summertime Tee-Off,03/06/2014,10,Carlos_Danger,PS3,,-11,2507,,,,,,,,5,,5,,0,1,133,191
Cool Spring Open,30/05/2014,1,MrPinhigh69,PS3,Yes,-12,2978,5,USA,M,40 to 49,Kat,Max,,5,,5,,8,6,228,265
Cool Spring Open,30/05/2014,2,ftgsdkl,PS3,Yes,-12,2665,72,USA,M,30 to 39,Kat,Max,,5,,5,,1,13,154,185
Cool Spring Open,30/05/2014,3,hutster39,PS3,Yes,-11,2840,58,USA,M,40 to 49,,Max,,5,,5,,1,1,133,209
Cool Spring Open,30/05/2014,4,merik2727,PS3,,-11,2800,155,CAN,M,20 to 29,,Max,,5,,5,,0,0,5,8
Cool Spring Open,30/05/2014,5,schildilein,PS Vita,Yes,-11,2782,37,AUT,M,40 to 49,Kat,Max,,5,,5,,2,4,389,577
Cool Spring Open,30/05/2014,6,GnomeWizard,PS3,Yes,-11,2623,29,POR,M,70 or over,,Max,,5,,5,,0,1,94,172
Cool Spring Open,30/05/2014,7,aldonkey,PS Vita,Yes,-11,2520,333,UK,M,40 to 49,,Max,,5,,5,,0,0,192,397
Cool Spring Open,30/05/2014,8,ftgsdkl,PS Vita,Yes,-11,2511,4,USA,M,30 to 39,Kat,Max,,5,,5,,18,10,306,409
Cool Spring Open,30/05/2014,9,DuFFMaNA,PS Vita,Yes,-11,2491,28,USA,M,20 to 29,,Max,,3,,3,,16,11,499,577
Cool Spring Open,30/05/2014,10,gbcrsly,PS3,,-11,2467,115,USA,M,,,Max,,5,,5,,1,0,128,208
Cool Spring Open,27/05/2014,1,B-Rockin,PS Vita,Yes,-11,2527,,USA,M,30 to 39,Kat,Max,,5,,5,,32,17,276,382
Cool Spring Open,27/05/2014,2,MrPinghigh69,PS Vita,Yes,-11,2520,,USA,M,40 to 49,Kat,Max,,5,,5,,10,12,286,455
Cool Spring Open,27/05/2014,3,AiriQ,PS3,Yes,-11,2497,,USA,M,,,Max,,5,,5,,0,0,84,180
Cool Spring Open,27/05/2014,4,TheJessman,PS3,,-11,2476,,CAN,M,,Kat,Max,,5,,5,,0,3,161,223
Cool Spring Open,27/05/2014,5,DonnyMassive,PS Vita,Yes,-10,2657,,USA,M,30 to 39,,Max,,5,,5,,0,0,92,200
Cool Spring Open,27/05/2014,6,Judge_Smales,PS3,,-10,2573,,,,,,Max,,5,,5,,2,1,115,169
Cool Spring Open,27/05/2014,7,GunsBeBlazin,PS Vita,,-10,2400,140,,,70 or over,Kat,Max,,5,,5,,2,1,193,321
Cool Spring Open,27/05/2014,8,MrPinghigh69,PS3,Yes,-10,2386,,USA,M,40 to 49,Kat,Max,,5,,5,,0,1,92,169
Cool Spring Open,27/05/2014,9,GnomeWizard,PS3,Yes,-10,2370,,POR,M,70 or over,,Max,,5,,5,,1,1,132,206
Cool Spring Open,27/05/2014,9,hutster39,Ps3,Yes,-10,2370,,USA,M,40 to 49,,Max,,5,,5,,0,0,4,8
Sunburst Championship,23/05/2014,1,crossmaps,PS Vita,,-10,2379,45,USA,M,20 to 29,,Max,,3,,3,,4,3,314,421
Sunburst Championship,23/05/2014,2,starsaber00,PS Vita,Yes,-9,2270,12,USA,M,,Kat,Max,,5,,5,,11,14,291,415
Sunburst Championship,23/05/2014,3,Killer_App_23,PS3,Yes,-9,2228,592,USA,M,20 to 29,,Max,,5,,5,,1,1,155,215
