Tournament,Date,Tour,Day,Course,Holes,Direction,Tee,Rule One,Rule Two,Official/Unofficial,Players,Avg. Score
Blue Sky Classic,24/08/2014,Last Day Harvest Hills tour,6,Harvest Hills,18,,Regular Tee,,,Official,,
Blue Sky Classic,23/08/2014,,5,,,,,,,,684,3
Blue Sky Classic,22/08/2014,Day 4 Mt. Sakura tour,4,Mt. Sakura,9,Out,Regular Tee,Impossible Pin,,,798,-5
Blue Sky Classic,21/08/2014,Day 3 Kagurayama tour,3,Kagurayama,9,In,Long Tee (Mirror),Rough: +1,,,893,-3
Blue Sky Classic,20/08/2014,Day 2 La Provence tour,2,La Provence,18,,Regular Tee,,,,848,-8
Blue Sky Classic,19/08/2014,First Day Al Arabian tour,1,Al Arabian,9,In,Regular Tee,No Wind,,,903,-3
Sunflower Cup,17/08/2014,Last Day La Provence tour,6,La Provence,18,,Regular Tee,Gale Force,,Official,,
Sunflower Cup,16/08/2014,,5,,,,,,,,,
Sunflower Cup,15/08/2014,,4,,,,,,,,,
Sunflower Cup,14/08/2014,Day 3 Legacy tour,3,Legacy,9,Out,Regular Tee,,,,800,0
Sunflower Cup,13/08/2014,Day 2 Harvest Hills tour,2,Harvest Hills,18,,Regular Tee,Bunker: +1,,,878,-9
Sunflower Cup,12/08/2014,First Day Mar Cielo tour,1,Mar Cielo,9,Out,Long Tee (Mirror),No Spin,,Official,,
Sandcastle Classic,10/08/2014,Last Day Mt. Sakura tour,6,Mt. Sakura,18,,Regular Tee,Limited Clubs,,,,
Sandcastle Classic,09/08/2014,,5,,,,,,,,,
Sandcastle Classic,08/08/2014,Day 4 Mar Cielo tour,4,Mar Cielo,9,Out,Regular Tee,,,,,
Sandcastle Classic,07/08/2014,Day 3 Kagurayama tour,3,Kagurayama,18,,Long Tee (Mirror),Impossible Pin,,,,
Sandcastle Classic,06/08/2014,Day 2 Mar Cielo tour,2,Mar Cielo,9,Out,Long Tee (Mirror),Sunny,Unlimited Power shot,Unofficial,,
Sandcastle Classic,05/08/2014,First Day Legacy tour,1,Legacy,9,In,Long Tee (Mirror),Mega Cup,,,619,0
Ice Cream Challenge,03/08/2014,Last Day Mar Cielo tour,6,Mar Cielo,18,,Long Tee (Mirror),Hole Shuffle,,,673,-4
Ice Cream Challenge,02/08/2014,Day 5 Al Arabian tour,5,Al Arabian,18,,Long Tee (Mirror),Mega Cup,,,737,-7
Ice Cream Challenge,01/08/2014,Day 4 Mt. Sakura tour,4,Mt. Sakura,9,Out,Regular Tee,No shot within 15 sec: +1,,,771,-6
Ice Cream Challenge,31/07/2014,Day 3 Legacy tour,3,Legacy,9,In,Long Tee (Mirror),,,,764,2
Ice Cream Challenge,30/07/2014,Day 2 Northern Fox tour,2,Northern Fox,18,,Regular Tee,No Wind,,,725,-13
Ice Cream Challenge,29/07/2014,First Day Kagurayama tour,1,Kagurayama,9,Out,Long Tee (Mirror),Hole Shuffle,Rough: +1,,842,-5
Mid-summer Masters,27/07/2014,Last Day Harvest Hills tour,6,Harvest Hills,18,,Regular Tee,,,,775,-11
Mid-summer Masters,26/07/2014,Day 5 Maple Leaf tour,5,Maple Leaf,18,,Long Tee (Mirror),Impossible Pin,Teeny Cup,,736,-5
Mid-summer Masters,25/07/2014,Day 4 Mt. Sakura tour,4,Mt. Sakura,9,Out,Regular Tee,Intermediate Only,,,747,-7
Mid-summer Masters,24/07/2014,Day 3 Legacy tour,3,Legacy,18,,Long Tee (Mirror),Rainy,,,625,5
Mid-summer Masters,23/07/2014,Day 2 La Provence tour,2,La Provence,9,In,Regular Tee,Hole Shuffle,Rought: +1,,766,-1
Mid-summer Masters,22/07/2014,First Day Mar Cielo tour,1,Mar Cielo,9,In,Regular Tee,Power Shot: +2,,,775,-1
Sea Breeze Cup,20/07/2014,Last Day La Provence tour,6,La Provence,18,,Regular Tee,Hole Shuffle,,,737,-8
Sea Breeze Cup,19/07/2014,Day 5 Harvest Hills tour,5,Harvest Hills,18,,Long Tee (Mirror),Impossible Pin,,,708,-7
Sea Breeze Cup,18/07/2014,Day 4 Legacy tour,4,Legacy,18,,Regular Tee,Rough: +1,,,660,7
Sea Breeze Cup,17/07/2014,Day 3 Al Arabian tour,3,Al Arabian,9,In,Regular Tee,Novice Only,Power Shot: +2,,765,0
Sea Breeze Cup,16/07/2014,Day 2 Al Arabian tour,2,Al Arabian,9,Out,Regular Tee,Gale Force,Bunker: +1,,777,0
Sea Breeze Cup,15/07/2014,First Day Northern Fox tour,1,Northern Fox,9,Out,Regular Tee,Teeny Cup,,,745,-5
Bucket and Spade Tournament,13/07/2014,Last Day Northern Fox tour,6,Northern Fox,18,,Long Tee (Mirror),,,,643,-10
Bucket and Spade Tournament,12/07/2014,Day 5 Kagurayama tour,5,Kagurayama,18,,Regular Tee,Intermediate Only,Rainy,,733,-10
Bucket and Spade Tournament,11/07/2014,Day 4 Mar Cielo tour,4,Mar Cielo,9,Out,Long Tee (Mirror),Bunker: +1,,,658,0
Bucket and Spade Tournament,10/07/2014,Day 3 Legacy tour,3,Legacy,18,,Long Tee (Mirror),Hole Shuffle,Power Shot: +2,,688,4
Bucket and Spade Tournament,09/07/2014,Day 2 Maple Leaf tour,2,Maple Leaf,9,In,Long Tee (Mirror),No Spin,Gale Force,,867,-4
Bucket and Spade Tournament,08/07/2014,First Day Mt. Sakura tour,1,Mt. Sakura,9,Out,Regular Tee,,,,820,-6
Independence Day Memorial,06/07/2014,,6,,,,,,,,667,-4
Independence Day Memorial,05/07/2014,Day 5 Mt. Sakura tour,5,Mt. Sakura,18,,Long Tee (Mirror),Hit a Tree: +1,,,497,-9
Independence Day Memorial,04/07/2014,Day 4 Mar Cielo tour,4,Mar Cielo,9,Out,Regular Tee,,,,525,-3
Independence Day Memorial,03/07/2014,Day 3 Kagurayama tour,3,Kagurayama,18,,Long Tee (Mirror),Hit a Tree: +1,Gale Force,,824,-8
Independence Day Memorial,02/07/2014,Day 2 Harvest Hills tour,2,Harvest Hills,9,In,Long Tee (Mirror),,,,899,-4
Independence Day Memorial,01/07/2014,First Day Maple Leaf tour,1,Maple Leaf,9,Out,Long Tee (Mirror),No shot within 15 sec: +1,,,945,-7
Bright Skies Open,29/06/2014,Last Day La Provence tour,6,La Provence,18,,Regular Tee,Mega Cup,,,812,-11
Bright Skies Open,28/06/2014,Day 5 Mt. Sakura tour,5,Mt. Sakura,18,,Long Tee (Mirror),Hole Shuffle,,,738,-10
Bright Skies Open,27/06/2014,Day 4 Harvest Hills tour,4,Harvest Hills,9,Out,Regular Tee,Hit a Tree: +1,,,880,-5
Bright Skies Open,26/06/2014,Day 3 Kagurayama tour,3,Kagurayama,18,,Regular Tee,Novice Only,,,859,-12
Bright Skies Open,25/06/2014,Day 2 Mar Cielo tour,2,Mar Cielo,9,Out,Long Tee (Mirror),Unlimited Power Shot,,,782,-1
Bright Skies Open,24/06/2014,First Day Legacy tour,1,Legacy,9,In,Regular Tee,Hole Shuffle,No Wind,,878,1
Solstice Masters,22/06/2014,Last Day Northen Fox tour,6,Northern Fox,18,,Long Tee (Mirror),Mega Cup,,,702,-14
Solstice Masters,21/06/2014,Day 5 Harvest Hills tour,5,Harvest Hills,18,,Regular Tee,,,,809,-9
Solstice Masters,20/06/2014,Day 4 Al Arabian tour,4,Al Arabian,9,Out,Long Tee (Mirror),Bunker: +1,No Wind,,812,0
Solstice Masters,19/06/2014,Day 3 Legacy tour,3,Legacy,9,In,Regular Tee,Novice Only,,,813,2
Solstice Masters,18/06/2014,Day 2 Kagurayama tour,2,Kagurayama,18,,Regular Tee,Hole Shuffle,,,865,-12
Solstice Masters,17/06/2014,First Day Maple Leaf tour,1,Maple Leaf,9,In,Long Tee (Mirror),Impossible Pin,,,901,-4
Suncream Classic,15/06/2014,Last Day Kagurayama tour,6,Kagurayama,18,,Regular Tee,Bunker: +1,Gale Force,,779,-9
Suncream Classic,14/06/2014,Day 5 Harvest Hills tour,5,Harvest Hills,9,In,Long Tee (Mirror),,,,554,-3
Suncream Classic,13/06/2014,Day 4 Harvest Hills tour,4,Harvest Hills,9,In,,,,,798,-3
Suncream Classic,12/06/2014,Day 3 Legacy tour,3,Legacy,9,In,Regular Tee,Novice Only,,,765,2
Suncream Classic,11/06/2014,Day 2 Al Arabian tour,2,Al Arabian,18,,Long Tee (Mirror),Unlimited Power Shot,,,788,-4
Suncream Classic,10/06/2014,First Day Mt. Sakura tour,1,Mt. Sakura,9,In,Regular Tee,Sunny,,,846,-5
Summertime Tee-Off,08/06/2014,Last Day Mar Cielo tour,6,Mar Cielo,18,,Long Tee (Mirror),,,,715,-3
Summertime Tee-Off,07/06/2014,Day 5 Legacy tour,5,Legacy,18,,Long Tee (Mirror),Mega Cup,,,737,-1
Summertime Tee-Off,06/06/2014,Day 4 Kagurayama tour,4,Kagurayama,9,In,Regular Tee,Rainy,,,846,-4
Summertime Tee-Off,05/06/2014,Day 3 Maple Leaf tour,3,Maple Leaf,9,Out,Regular Tee,Teeny Cup,,,947,-7
Summertime Tee-Off,04/06/2014,Day 2 Northern Fox tour,2,Northern Fox,9,Out,Regular Tee,Hole Shuffle,,,804,-6
Summertime Tee-Off,03/06/2014,First Day Harvest Hills tour,1,Harvest Hills,9,Out,Long Tee (Mirror),Rainy,,,956,-3
Cool Spring Open,01/06/2014,Last Day Legacy tour,6,Legacy,18,,Regular Tee,Novice Only,,,733,4
Cool Spring Open,31/05/2014,Day 5 Harvest Hills tour,5,Harvest Hills,18,,Long Tee (Mirror),Hole Shuffle,,,845,-9
Cool Spring Open,30/05/2014,Day 4 Northern Fox tour,4,Northern Fox,9,Out,Regular Tee,Gale Force,Unlimited Power shot,,730,-4
Cool Spring Open,29/05/2014,Day 3 Kagurayama tour,3,Kagurayama,18,,Long Tee (Mirror),Sunny,Power Shot: +2,,878,-10
Cool Spring Open,28/05/2014,Day 2 Mar Cielo tour,2,Mar Cielo,9,Out,Long Tee (Mirror),No Spin,Mega Cup,,809,-3
Cool Spring Open,27/05/2014,First Day Al Arabian tour,1,Al Arabian,9,Out,Regular Tee,,,,985,-2
Sunburst Championship,25/05/2014,Last Day Kagurayama tour,6,Kagurayama,18,,Regular Tee,Limited Clubs,,,915,-10
Sunburst Championship,24/05/2014,Day 5 Mt. Sakura tour,5,Mt. Sakura,18,,Long Tee (Mirror),No Wind,Unlimited Power shot,,789,-12
Sunburst Championship,23/05/2014,Day 4 Legacy tour,4,Legacy,9,Out,Regular Tee,Rainy,,,838,1
Sunburst Championship,22/05/2014,Day 3 Maple Leaf tour,3,Maple Leaf,9,In,Long Tee (Mirror),,,,929,-5
Sunburst Championship,21/05/2014,Day 2 Harvest Hills tour,2,Harvest Hills,9,In,Regular Tee,No shot within 15 sec: +1,,,931,-3
Sunburst Championship,20/05/2014,First Day La Provence tour,1,La Provence,18,,Long Tee (Mirror),Hole Shuffle,,,871,-5
Europe Day Memorial,18/05/2014,Last Day Maple Leaf tour,6,Maple Leaf,18,,Regular Tee,Hole Shuffle,Mega Cup,,971,-17
Europe Day Memorial,17/05/2014,Day 5 Mar Cielo tour,5,Mar Cielo,18,,Regular Tee,Gale Force,Rainy,,659,-1
Europe Day Memorial,16/05/2014,Day 4 La Provence tour,4,La Provence,9,Out,Regular Tee,Teeny Cup,,,889,-1
Europe Day Memorial,15/05/2014,Day 3 Al Arabian tour,3,Al Arabian,9,Out,Long Tee (Mirror),Intermediate Only,,,824,-1
Europe Day Memorial,14/05/2014,Day 2 Harvest Hills tour,2,Harvest Hills,18,,Long Tee (Mirror),Bunker: +1,,,871,-6
Europe Day Memorial,13/05/2014,First Day Kagurayama tour,1,Kagurayama,9,In,Regular Tee,,,,1022,-5
May Day Tour,11/05/2014,Last Day Al Arabian tour,6,Al Arabian,18,,Regular Tee,,,,859,-3
May Day Tour,10/05/2014,Day 5 Mt. Sakura tour,5,Mt. Sakura,18,,Long Tee (Mirror),Impossible Pin,,,768,-9
