Tournament,Start date,End date
Cool Spring Open,27/05/2014,02/06/2014
Sunburst Championship,20/05/2014,26/05/2014
Europe Day Memorial,13/05/2014,19/05/2014
May Day Tour,06/05/2014,12/05/2014
Birdsong Challenge,29/04/2014,05/05/2014
Earth Day Challenge Cup,22/04/2014,28/04/2014
Blossom Masters,15/04/2014,21/04/2014
Springtime Tour,08/04/2014,14/04/2014
Fool's Day Classic,01/04/2014,07/04/2014
Rainy Clouds Open,25/03/2014,31/03/2014
Equinox Annual Cup,18/03/2014,24/03/2014
Rainbow Masters,11/03/2014,17/03/2014
Changing of the Seasons Tee-Off,04/03/2014,10/03/2014
Hibernation Masters,25/02/2014,03/03/2014
Thundercloud Tour,18/02/2014,24/02/2014
Cupid Challenge Cup,11/02/2014,17/02/2014
Groundhog Day Event,04/02/2014,10/02/2014
Iced Tee Open,28/01/2014,03/02/2014
Jack Frost Masters,21/01/2014,27/01/2014
Frozen Penguin Tour,14/01/2014,20/01/2014
New Year Tee-Off,07/01/2014,13/01/2014
New Year's Event,31/12/2013,06/01/2014
Christmas Challenge Cup,24/12/2013,30/12/2013
End of the Year Masters,17/12/2013,23/12/2013
Snowball Championships,10/12/2013,16/12/2013
Winter Winners' Cup,03/12/2013,09/12/2013
Misty Masters,26/11/2013,02/12/2013
Raincloud Challenge,19/11/2013,25/11/2013
Poppy Memorial Cup,12/11/2013,18/11/2013
The Fireworks Open,05/11/2013,11/11/2013
Halloween Classic,29/10/2013,04/11/2013
Leaf-Fall Tour,22/10/2013,28/10/2013
Autumn Masters,15/10/2013,21/10/2013
Acorn Championship,08/10/2013,14/10/2013
Oktoberfest Challenge Cup,01/10/2013,07/10/2013
The Fairway Open,24/09/2013,30/09/2013
Harvest Tour,17/09/2013,23/09/2013
Moonlight Beginner's Cup,10/09/2013,16/09/2013
Sunset Challenge,03/09/2013,09/09/2013
Heatwave Challenge,27/08/2013,02/09/2013
Blue Sky Classic,20/08/2013,26/08/2013
Sunflower Cup,13/08/2013,19/08/2013
Sandcastle Classic,06/08/2013,12/08/2013
Ice Cream Challenge,30/07/2013,05/08/2013
Mid-summer Masters,23/07/2013,29/07/2013
Sea Breeze Cup,16/07/2013,22/07/2013
Bucket and Spade Tournament,09/07/2013,15/07/2013
Independence Day Memorial,02/07/2013,08/07/2013
Bright Skies Open,25/06/2013,01/07/2013
Solstice Masters,18/06/2013,24/06/2013
Suncream Classic,11/06/2013,17/06/2013
Summertime Tee-Off,04/06/2013,10/06/2013
Cool Spring Open,28/05/2013,03/06/2013
Sunburst Championship,21/05/2013,27/05/2013
Europe Day Memorial,14/05/2013,20/05/2013
May Day Tour,07/05/2013,13/05/2013
Birdsong Challenge,30/04/2013,06/05/2013
Earth Day Challenge Cup,23/04/2013,29/04/2013
Blossom Masters,16/04/2013,22/04/2013
Springtime Tour,09/04/2013,15/04/2013
Fool's Day Classic,02/04/2013,08/04/2013
Rainy Clouds Open,26/03/2013,01/04/2013
Equinox Annual Cup,19/03/2013,25/03/2013
Rainbow Masters,12/03/2013,18/03/2013
Changing of the Seasons Tee-Off,05/03/2013,11/03/2013
Hibernation Masters,26/02/2013,04/03/2013
Thundercloud Tour,19/02/2013,25/02/2013
Cupid Challenge Cup,12/02/2013,18/02/2013
Groundhog Day Event,05/02/2013,11/02/2013
Polar Bear Classic,29/01/2013,04/02/2013
Iced Tee Open,22/01/2013,28/01/2013
Jack Frost Masters,15/01/2013,21/01/2013
Frozen Penguin Tour,08/01/2013,14/01/2013
New Year Tee-Off,01/01/2013,07/01/2013
Christmas Challenge Cup,25/12/2012,31/12/2012
End of the Year Masters,18/12/2012,24/12/2012
Snowball Championships,11/12/2012,17/12/2012
Winter Winners' Cup,04/12/2012,10/12/2012
Misty Masters,27/11/2012,03/12/2012
Raincloud Challenge,20/11/2012,26/11/2012
The Fireworks Open,06/11/2012,12/11/2012
Halloween Classic,30/10/2012,05/11/2012
Leaf-Fall Tour,23/10/2012,29/10/2012
Autumn Masters,16/10/2012,22/10/2012
Acorn Championship,09/10/2012,15/10/2012
Oktoberfest Challenge Cup,02/10/2012,08/10/2012
The Fairway Open,25/09/2012,01/10/2012
Harvest Tour,18/09/2012,24/09/2012
Moonlight Beginner's Cup,11/09/2012,17/09/2012
Sunset Challenge,04/09/2012,10/09/2012
Heatwave Challenge,28/08/2012,03/09/2012
Blue Sky Classic,21/08/2012,27/08/2012
Sunflower Cup,14/08/2012,20/08/2012
Olympian Golf Tournament,07/08/2012,13/08/2012
Summer Games Tee Off,31/07/2012,06/08/2012
Mid-summer Masters,24/07/2012,20/07/2012
Poppy Memorial Cup,13/01/2012,19/11/2012
