Category,Name,Type,Points
Character Unlock,Isabelle,,1000
Character Unlock,Chang,,1500
Character Unlock,Lani,,30000
Character Unlock,Pancho,,15000
Character Unlock,Grace,,15000
Character Unlock,Amy,,
Character Outfits,Yuna Colour Set (Normal),,
Character Outfits,Yuna Costume,,
Character Outfits,Yuna Colour Set (Costume),,5000
Character Outfits,Yamato Colour Set (Normal),,5000
Character Outfits,Yamato Costume,,20000
Character Outfits,Amy Colour Set (Normal),,5000
Clubs,Beginner's Club Lv1,,
Clubs,Beginner's Club Lv2,,8000
Clubs,Big Air Club Lv1,,
Clubs,Pin Hole Club Lv1,,8000
Clubs,Turbo Spin Club Lv1,,8000
Clubs,Grass Cutter Club Lv1,,6000
Balls,Beginner's Ball Lv1,,
Balls,Big Air Ball Lv1,,4000
Balls,Pin Hole Ball Lv1,,4000
Balls,Turbo Spin Ball Lv1,,4000
Balls,Football,,10000
Balls,Globe Ball,,10000
Courses,Kagurayama Country Club,,
Courses,Harvest Hills Golf Course,,
Lobby Character,Parts Dispenser: Normal,,300
Others,Closet Expansion (1),,5000
Others,Manual Video,Video,10000
Others,Traditional Shot Certification,Certification,5000
Others,Advanced Shot Certification,Certification,5000
Others,Arrow Shot Certification,Certification,5000
Others,Concept Art (Maple Leaf),Concept Art,1000
Others,Concept Art (Kagurayama C.C.),Concept Art,1000
Others,Concept Art (Yuna),Concept Art,1500
Others,Concept Art (Yamato),Concept Art,1500
Others,Concept Art (Amy),Concept Art,1500
Others,Title,Music,1000
Others,Main Menu,Music,1000
Others,Stroke Mode,Music,1000
Others,Challenge Mode,Music,1000
Others,Videos,Music,1000
Others,Stats,Music,1000
Others,Shop,Music,1000
Others,Profile,Music,1000
Others,Video Screen,Music,1000
Others,Online Menu,Music,1000
Others,Multiplayer Room,Music,1000
Others,Customisation,Music,1000
Others,Maple Leaf Golf Club,Music,1000
Others,Kagurayama Country Club,Music,1000
