Festival,Event,Track,Type,Car Type,Time
Monument Valley,Mixing Bowl,Grizzly's Den,Race,Supermini,00:54.295
Monument Valley,Eat My Dust,Sandstorm,Time Trial,Monster Truck,00:23.056
Monument Valley,Night Clubbed,Grizzly's Den,Overtake,Racing Truck,00:41.915
Monument Valley,Mud Pluigged,Scrap Heap,Time Trial,Monster Truck,00:26.662
Monument Valley,Plain Dirty,Sandstorm,Race,Supermini,
Monument Valley,Rock Skipper,Sun God Mesa,Time Trial,Rally Car,00:14.237
Monument Valley,Rough and Ready,Scrap Heap,Overtake,Big Rig,00:54.609
Monument Valley,Hard Rocking,Grizzly's Den,Time Trial,Big Rig,00:11.789
Monument Valley,Vertical Limit,Sun God Mesa,Race,Buggy,00:43.711
Monument Valley,Scrapped,Scrap Heap,Race,Buggy,01:20.046
Monument Valley,Trailblazers,Sandstorm,Overtake,Rally Car,01:12.162
Monument Valley,Rockslide,Sun God Mesa,Drift,Muscle Car,00:35.498
Monument Valley,Meat Grinder,Grizzly's Den,Time Trial,Super Car,00:09.545
Monument Valley,Sandblasted,Sandstorm,Time Trial,Super Car,00:18.785
Monument Valley,Rusted Metal,Scrap Heap,Time Trial,Super Car,00:19.805
Monument Valley,Plank Rattler,Sun God Mesa,Time Trial,Super Car,00:10.921
Pacific Rift,Sand Surfin',Ripslide,Time Trial,Racing Truck,00:20.833
Pacific Rift,Going Down,Wrecked,Overtake,Monster Truck,00:36.642
Pacific Rift,Beach Wrecker,Ripslide,Race,Monster Truck,01:04.387
Pacific Rift,Over Easy,Charred Rock Café,Overtake,Supermini,01:00.299
Pacific Rift,Plane and Simple,Wrecked,Race,Racing Truck,01:04.605
Pacific Rift,Out of the Frying Pan,Charred Rock Café,Time Trial,Rally Car,00:19.867
Pacific Rift,Drenched,Pacific Drift,Time Trial,Buggy,00:13.257
Pacific Rift,Wave Breaker,Ripslide,Overtake,Buggy,01:19.205
Pacific Rift,Make a Splash,Pacific Drift,Race,Big Rig,00:42.705
Pacific Rift,Burned,Charred Rock Café,Race,Big Rig,01:20.381
Pacific Rift,Overflow,Pacific Drift,Drift,Muscle Car,00:43.572
Pacific Rift,Nervous Wreck,Wrecked,Time Trial,Rally Car,00:17.554
Pacific Rift,Wipe Out,Ripslide,Time Trial,Super Car,00:16.448
Pacific Rift,Crash Landing,Wrecked,Time Trial,Super Car,00:14.872
Pacific Rift,Into the Fire,Charred Rock Café,Time Trial,Super Car,00:15.886
Pacific Rift,Wet and Wild,Pacific Drift,Time Trial,Super Car,00:09.894
