Type,Area,Level,Scene,Scene Name,Best Score,Best Combo
Career,Olliwood,Amateur,1,Welcome to Olliwood,145380,106026
Career,Olliwood,Amateur,2,Mullholland Grind,337240,300334
Career,Olliwood,Amateur,3,"Lights, Camera, Faceplant",480566,478738
Career,Olliwood,Amateur,4,Los Limelight,1193742,1193742
Career,Olliwood,Amateur,5,The Split,7612,5364
Career,Olliwood,Pro,1,Olliwood Bowl,762928,762928
Career,Olliwood,Pro,2,Ollay Confidential,0,0
Career,Olliwood,Pro,3,Silverscreen Subway,0,0
Career,Olliwood,Pro,4,Going Underground,0,0
Career,Olliwood,Pro,5,,,
Career,Curse of the Aztec,Amateur,1,The Origins of Manual,628563,628555
Career,Curse of the Aztec,Amateur,2,Manualment Valley,1241196,1241196
Career,Curse of the Aztec,Amateur,3,Village in the Trees,598487,598487
Career,Curse of the Aztec,Amateur,4,Stairway to Heathen,943107,943107
Career,Curse of the Aztec,Amateur,5,Twitch Temple,505227,502864
Career,Curse of the Aztec,Pro,1,,,
Career,Curse of the Aztec,Pro,2,Ritual Sacrifice,0,0
Career,Curse of the Aztec,Pro,3,Empire's Fall,0,0
Career,Curse of the Aztec,Pro,4,,,
Career,Curse of the Aztec,Pro,5,The Emperor's Tomb,0,0
Career,Gunmetal Creek,Amateur,1,"The Good, the Board and the Ugly",783711,782833
Career,Gunmetal Creek,Amateur,2,Underground Railroad,116375,116354
Career,Gunmetal Creek,Amateur,3,,,
Career,Gunmetal Creek,Amateur,4,,,
Career,Gunmetal Creek,Amateur,5,,,
Career,Gunmetal Creek,Pro,1,,,
Career,Gunmetal Creek,Pro,2,,,
Career,Gunmetal Creek,Pro,3,,,
Career,Gunmetal Creek,Pro,4,,,
Career,Gunmetal Creek,Pro,5,,,
Spots,Olliwood,Amateur,1,Amateur 1,44371,
Spots,Olliwood,Amateur,2,Amateur 2,49545,
Spots,Olliwood,Amateur,3,Amateur 3,29793,
Spots,Olliwood,Amateur,4,Amateur 4,100283,
Spots,Olliwood,Amateur,5,Amateur 5,122888,
Spots,Olliwood,Pro,1,Pro 1,68107,
Spots,Olliwood,Pro,2,,,
Spots,Olliwood,Pro,3,,,
Spots,Olliwood,Pro,4,,,
Spots,Olliwood,Pro,5,,,
