Chapter,Level,Time
1,1,3.07
1,2,8.13
1,3,4.04
1,4,15.9
1,5,8.58
1,6,5.27
1,7,7.64
1,8,3.22
1,9,7.37
1,10,10.64
1,11,6.89
1,12,8.18
1,13,15.57
1,14,13.25
1,15,13.41
1,16,11.46
1,17,11.2
1,18,9.19
1,19,19.02
1,20,32.57
1,1X,
1,2X,
1,3X,4.34
1,4X,
1,5X,
1,6X,
1,7X,
1,8X,
1,9X,
1,10X,
1,11X,
1,12X,
1,13X,
1,14X,
1,15X,
1,16X,
1,17X,
1,18X,
1,19X,
1,20X,
2,1,9.09
2,2,8.29
2,3,13.33
2,4,8.81
2,5,20.75
2,6,22.74
2,7,29.5
2,8,12.4
2,9,10.46
2,10,8.76
2,11,7.71
2,12,16.92
2,13,13.83
2,14,17.8
2,15,19.97
2,16,9.48
2,17,17
2,18,18.3
2,19,13.03
2,20,51.93
2,1X,
2,2X,
2,3X,
2,4X,
2,5X,
2,6X,
2,7X,
2,8X,
2,9X,
2,10X,
2,11X,
2,12X,
2,13X,
2,14X,
2,15X,
2,16X,
2,17X,
2,18X,
2,19X,
2,20X,
3,1,8.19
3,2,20.14
3,3,19.97
3,4,11.39
3,5,13.51
3,6,4.65
3,7,
3,8,
3,9,
3,10,
3,11,
3,12,
3,13,
3,14,
3,15,
3,16,
3,17,
3,18,
3,19,
3,20,
