Campaign,Season,Type,Track,Class,Laps,Rules,Ship,Time,Zones,Points
2048,2048,Race,Empire Climb,C,3,Weapons Off,Pir-Hana Speed,3.17.04,,
2048,2048,Race,Capital Reach,C,3,Defensive Weapons Off,Pir-Hana Speed,3.45.94,,
2048,2048,Race,Queens Mall,C,3,Defensive Weapons Off,Pir-Hana Speed,2.27.94,,
2048,2048,Time Trial,Capital Reach,C,2,Weapons Off,Pir-Hana Speed,2.27.50,,
2048,2048,Time Trial,Metro Park,C,2,Weapons Off,Pir-Hana Speed,1.49.48,,
2048,2048,Time Trial,Queens Mall,B,2,Weapons Off,Pir-Hana Speed,1.23.91,,
2048,2048,Zone,Empire Climb,,,Weapons Off,AG Systems Speed,,35,
2048,2048,Race,Unity Square,C,3,Weapons On,AG Systems Speed,2.27.19,,
2048,2048,Race,Metro Park,C,3,Weapons On,Pir-Hana Speed,2.48.66,,
2048,2048,Combat,Empire Climb,C,,Weapons On,Qirex Fighter,,,161
2048,2048,Race,Capital Reach,C,3,Weapons On,Feisar Speed,3.48.21,,
2048,2048,Combat,Unity Square,C,,Weapons On,Qirex Fighter,,,142
2048,2048,Combat,Metro Park,C,,Weapons On,Qirex Fighter,,,133
2048,2048,Combat,Queens Mall,C,,Weapons On,Qirex Fighter,,,152
2048,2048,Race,Unity Square,B,5,Weapons On,AG Systems Speed,3.39.10,,
2048,2049,Race,Rockway Stadium,B,3,Weapons On,AG Systems Speed,2.17.97,,
2048,2049,Race,Downtown,B,3,Weapons On,AG Systems Speed,2.15.99,,
2048,2049,Combat,Capital Reach,,,Your Ship vs Speed Ships,Qirex Fighter,,,100
2048,2049,Race,Subway,B,1,,AG Systems Speed,0.50.50,,
2048,2049,Race,Unity Square,B,3,Fighter Ships Only,AG Systems Fighter,2.13.82,,
2048,2049,Zone,Unity Square,,,,Auricom Agility,,34,
2048,2049,Combat,Rockway Stadium,,,,Qirex Fighter,,,72
2048,2049,Time Trial,Unity Square,B,2,,Pir-Hana Speed,1.22.42,,
2048,2049,Combat,Empire Climb,B,,Cannon + Bombs + Mines,AG Systems Agility,3.00,,32
2048,2049,Race,Subway,B,3,Leech Beam and Cannons Only,AG Systems Speed,2.34.83,,
2048,2049,Single Lap Sprint,Queens Mall,B,1,Weapons Off,Qirex Fighter,0.46.04,,
2048,2049,Zone,Metro Park,,,,AG Systems Fighter,,32,
2048,2049,Race,Metro Park,B,3,,Pir-Hana Speed,2.29.50,,
2048,2049,Time Trial,Metro Park,A,3,,Pir-Hana Speed,2.01.38,,
2048,2049,,,,,,,,,
2048,2049,,,,,,,,,
2048,2049,,,,,,,,,
2048,2049,,,,,,,,,
2048,2049,,,,,,,,,
2048,2049,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,2050,,,,,,,,,
2048,,Speed Lap,Unity Square,A+,,,Pir-Hana Agility,0.34.62,,
2048,,Speed Lap,Unity Square,A+,,,Pir-Hana Speed,0.36.99,,
2048,,Speed Lap,Unity Square,B,,,Pir-Hana Speed,0.41.15,,
2048,,Speed Lap,Unity Square,C,,,Pir-Hana Speed,0.45.32,,
2048,,Speed Lap,Queens Mall,A+,,,Pir-Hana Speed,0.34.92,,
2048,,Speed Lap,Queens Mall,A,,,,,,
2048,,Speed Lap,Queens Mall,B,,,,,,
2048,,Speed Lap,Queens Mall,C,,,,,,
2048,,Speed Lap,Metro Park,A+,,,Pir-Hana Speed,0.39.59,,
2048,,Speed Lap,Metro Park,A,,,,,,
2048,,Speed Lap,Metro Park,B,,,,,,
2048,,Speed Lap,Metro Park,C,,,,,,
2048,,Speed Lap,Capital Reach,A+,,,Pir-Hana Speed,0.57.50,,
2048,,Speed Lap,Capital Reach,A,,,,,,
2048,,Speed Lap,Capital Reach,B,,,,,,
2048,,Speed Lap,Capital Reach,C,,,,,,
2048,,Speed Lap,Empire Climb,A+,,,,,,
2048,,Speed Lap,Empire Climb,A,,,,,,
2048,,Speed Lap,Empire Climb,B,,,,,,
2048,,Speed Lap,Empire Climb,C,,,,,,
2048,,Speed Lap,Rockway Stadium,A+,,,Pir-Hana Agility,0.35.52,,
2048,,Speed Lap,Rockway Stadium,A,,,,,,
2048,,Speed Lap,Rockway Stadium,B,,,,,,
2048,,Speed Lap,Rockway Stadium,c,,,,,,
2048,,Speed Lap,Downtown,A+,,,,,,
2048,,Speed Lap,Downtown,A,,,,,,
2048,,Speed Lap,Downtown,B,,,,,,
2048,,Speed Lap,Downtown,c,,,,,,
2048,,Speed Lap,Subway,A+,,,Pir-Hana Speed,0.41.97,,
2048,,Speed Lap,Subway,A,,,,,,
2048,,Speed Lap,Subway,B,,,,,,
2048,,Speed Lap,Subway,C,,,,,,
2048,,Speed Lap,Sol,A+,,,,,,
2048,,Speed Lap,Sol,A,,,Pir-Hana Speed,0.37.44,,
2048,,Speed Lap,Sol,B,,,,,,
2048,,Speed Lap,Sol,C,,,,,,
2048,,Speed Lap,Altima,A+,,,,,,
2048,,Speed Lap,Altima,A,,,,,,
2048,,Speed Lap,Altima,B,,,,,,
2048,,Speed Lap,Altima,C,,,,,,
2048,Prototype Challenge,Race,Empire Climb,A,10,,Feisar Prototype,9.01.98,,
2048,Prototype Challenge,,,,,,AG Systems Prototype,,,
2048,Prototype Challenge,,,,,,Qirex Prototype,,,
2048,Prototype Challenge,Combat,Downtown,B,,,Auricom Prototype,,,73
2048,Prototype Challenge,,,,,,Pir-Hana Prototype,,,
HD,Uplift,Speed Lap,Vineta K,C,7,,,0.30.37,,
HD,Uplift,Time Trial,Anulpha Pass,D,3,,,1.46.90,,
HD,Uplift,Race,Vineta K,D,3,,,1.46.20,,
HD,Uplift,Speed Lap,Anulpha Pass,D,7,,,0.37.83,,
HD,Uplift,Zone,Vineta K,,,,,,18,
HD,Uplift,Race,Anulpha Pass,D,,,,,,
HD,Warped,,,,,,,,,
HD,Warped,,,,,,,,,
HD,Warped,,,,,,,,,
HD,Warped,,,,,,,,,
HD,Warped,,,,,,,,,
HD,Warped,,,,,,,,,
HD,Warped,,,,,,,,,
HD,Warped,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Frenzy,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Vertigo,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Dropzone,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
HD,Speed Freak,,,,,,,,,
